
"year","month","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","12","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5047"
"2018","12","499","Broadway & W 60 St","40.76915505","-73.98191841","4960"
"2019","1","519","Pershing Square North","40.751873","-73.977706","8897"
"2019","1","402","Broadway & E 22 St","40.7403432","-73.98955109","6744"
"2019","1","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6551"
"2019","1","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6493"
"2019","1","497","E 17 St & Broadway","40.73704984","-73.99009296","5803"
"2019","1","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5561"
"2019","1","285","Broadway & E 14 St","40.73454567","-73.99074142","5357"
"2019","1","490","8 Ave & W 33 St","40.751551","-73.993934","5262"
"2019","1","359","E 47 St & Park Ave","40.75510267","-73.97498696","5134"
"2019","1","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","5012"
"2019","2","519","Pershing Square North","40.751873","-73.977706","8190"
"2019","2","402","Broadway & E 22 St","40.7403432","-73.98955109","6684"
"2019","2","435","W 21 St & 6 Ave","40.74173969","-73.99415556","6296"
"2019","2","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","6131"
"2019","2","497","E 17 St & Broadway","40.73704984","-73.99009296","5957"
"2019","2","285","Broadway & E 14 St","40.73454567","-73.99074142","5786"
"2019","2","490","8 Ave & W 33 St","40.751551","-73.993934","5069"
"2019","2","477","W 41 St & 8 Ave","40.75640548","-73.9900262","5000"
"2019","2","293","Lafayette St & E 8 St","40.73020660529954","-73.99102628231049","4989"
"2019","2","359","E 47 St & Park Ave","40.75510267","-73.97498696","4825"
"2019","3","519","Pershing Square North","40.751873","-73.977706","10908"
"2019","3","3255","8 Ave & W 31 St","40.7505853470215","-73.9946848154068","8583"
"2019","3","402","Broadway & E 22 St","40.7403432","-73.98955109","8550"
"2019","3","435","W 21 St & 6 Ave","40.74173969","-73.99415556","8263"
"2019","3","497","E 17 St & Broadway","40.73704984","-73.99009296","8169"
"2019","3","285","Broadway & E 14 St","40.73454567","-73.99074142","7167"
"2019","3","490","8 Ave & W 33 St","40.751551","-73.993934","7041"
"2019","3","3660","W 16 St & 8 Ave","40.741021509002664","-74.001384973526","6298"
