latitude,longitude,borough,countie
40.73314259,-73.97573881,Manhattan,New York
40.751551,-73.993934,Manhattan,New York
40.74096374,-73.98602213,Manhattan,New York
40.75019995,-73.99093085,Manhattan,New York
40.74734825,-73.99723551,Manhattan,New York
40.76269882,-73.99301222,Manhattan,New York
40.73726186,-73.99238967,Manhattan,New York
40.73704984,-73.99009296,Manhattan,New York
40.74854862,-73.98808416,Manhattan,New York
40.76915505,-73.98191841,Manhattan,New York
40.76228826,-73.98336183,Manhattan,New York
40.744219,-73.97121214,Manhattan,New York
40.714215,-73.981346,Manhattan,New York
40.73827428,-73.98751968,Manhattan,New York
40.73221853,-73.98165557,Manhattan,New York
40.74901271,-73.98848395,Manhattan,New York
40.73912601,-73.97973776,Manhattan,New York
40.76341379,-73.99667444,Manhattan,New York
40.7454973,-74.00197139,Manhattan,New York
40.768254,-73.988639,Manhattan,New York
40.76087502,-74.00277668,Manhattan,New York
40.76009437,-73.99461843,Manhattan,New York
40.75206862,-73.96784384,Manhattan,New York
40.751581,-73.97791,Manhattan,New York
40.74780373,-73.9734419,Manhattan,New York
40.751873,-73.977706,Manhattan,New York
40.75992262,-73.97648516,Manhattan,New York
40.75714758,-73.97207836,Manhattan,New York
40.75466591,-73.99138152,Manhattan,New York
40.75527307,-73.98316936,Manhattan,New York
40.75594159,-74.0021163,Manhattan,New York
40.74765947,-73.98490707,Manhattan,New York
40.744023,-73.976056,Manhattan,New York
40.74290902,-73.97706058,Manhattan,New York
40.7575699,-73.99098507,Manhattan,New York
40.771522,-73.990541,Manhattan,New York
40.71893904,-73.99266288,Manhattan,New York
40.710451,-73.960876,Brooklyn,Kings County
40.75299641,-73.98721619,Manhattan,New York
40.70255065,-74.0127234,Manhattan,New York
40.74144387,-73.97536082,Manhattan,New York
40.74025878,-73.98409214,Manhattan,New York
40.71534825,-73.96024116,Brooklyn,Kings County
40.74311555376486,-73.98215353488922,Manhattan,New York
40.736502,-73.97809472,Manhattan,New York
40.74444921,-73.98303529,Manhattan,New York
40.70255088,-73.98940236,Brooklyn,Kings County
40.699773,-73.979927,Brooklyn,Kings County
40.716887,-73.963198,Brooklyn,Kings County
40.733812191966315,-73.98054420948029,Manhattan,New York
40.70531194,-73.97100056,Brooklyn,Kings County
40.76590936,-73.97634151,Manhattan,New York
40.70569254,-74.01677685,Manhattan,New York
40.71117444,-73.99682619,Manhattan,New York
40.72165481,-74.00234737,Manhattan,New York
40.739445,-73.976806,Manhattan,New York
40.75929124,-73.98859651,Manhattan,New York
40.759107,-73.959223,Manhattan,New York
40.75968085,-73.97031366,Manhattan,New York
40.711512,-74.015756,Manhattan,New York
40.72036775298455,-73.96165072917938,Brooklyn,Kings County
40.67890679,-73.94142771,Brooklyn,Kings County
40.6794268,-73.9298911,Brooklyn,Kings County
40.6814598,-73.934903,Brooklyn,Kings County
40.6800105,-73.938475,Brooklyn,Kings County
40.682601,-73.938037,Brooklyn,Kings County
40.6823687,-73.944118,Brooklyn,Kings County
40.68402,-73.94977,Brooklyn,Kings County
40.68488,-73.96304,Brooklyn,Kings County
40.6851532,-73.94111,Brooklyn,Kings County
40.686312,-73.935775,Brooklyn,Kings County
40.6900815,-73.947915,Brooklyn,Kings County
40.6894932,-73.942061,Brooklyn,Kings County
40.6883337,-73.950916,Brooklyn,Kings County
40.69072549,-73.95133465,Brooklyn,Kings County
40.69128258,-73.9452416,Brooklyn,Kings County
40.69237074,-73.93705428,Brooklyn,Kings County
40.6933982,-73.939877,Brooklyn,Kings County
40.69425403,-73.94626915,Brooklyn,Kings County
40.69622937,-73.94371094,Brooklyn,Kings County
40.69539817,-73.94954908,Brooklyn,Kings County
40.69527008,-73.95238108,Brooklyn,Kings County
40.69681963,-73.93756926,Brooklyn,Kings County
40.70029511,-73.95032283,Brooklyn,Kings County
40.69957608,-73.94708417,Brooklyn,Kings County
40.7016657,-73.9437303,Brooklyn,Kings County
40.7031724,-73.940636,Brooklyn,Kings County
40.70411791,-73.94818595,Brooklyn,Kings County
40.70510918,-73.94407279,Brooklyn,Kings County
40.70538077,-73.94976519,Brooklyn,Kings County
40.70583339,-73.94644578,Brooklyn,Kings County
40.70691254,-73.95441667,Brooklyn,Kings County
40.70767788,-73.94016171,Brooklyn,Kings County
40.70708701,-73.95796783,Brooklyn,Kings County
40.70870368,-73.9448625,Brooklyn,Kings County
40.70877084,-73.95095259,Brooklyn,Kings County
40.70924826276157,-73.96063148975372,Brooklyn,Kings County
40.70934,-73.95608,Brooklyn,Kings County
40.711863,-73.944024,Brooklyn,Kings County
40.71167351,-73.95141312,Brooklyn,Kings County
40.71247661,-73.94100005,Brooklyn,Kings County
40.71469,-73.95739,Brooklyn,Kings County
40.715143,-73.944507,Brooklyn,Kings County
40.71413311,-73.95234386,Brooklyn,Kings County
40.7160751,-73.952029,Brooklyn,Kings County
40.71774592,-73.95600096,Brooklyn,Kings County
40.71764,-73.94882,Brooklyn,Kings County
40.7190095,-73.95852515,Brooklyn,Kings County
40.71745169,-73.95850939,Brooklyn,Kings County
40.7169811,-73.94485918,Brooklyn,Kings County
40.71929301,-73.94500379,Brooklyn,Kings County
40.71924,-73.95242,Brooklyn,Kings County
40.724812564400175,-73.94752621650696,Brooklyn,Kings County
40.72079821,-73.95484712,Brooklyn,Kings County
40.72179134,-73.9504154,Brooklyn,Kings County
40.72153267,-73.95782357,Brooklyn,Kings County
40.724055,-73.955736,Brooklyn,Kings County
40.72325,-73.94308,Brooklyn,Kings County
40.72311651,-73.95212324,Brooklyn,Kings County
40.72557,-73.94434,Brooklyn,Kings County
40.72606,-73.95621,Brooklyn,Kings County
40.72708584,-73.95299117,Brooklyn,Kings County
40.72906,-73.95779,Brooklyn,Kings County
40.73026,-73.95394,Brooklyn,Kings County
40.73232194,-73.9550858,Brooklyn,Kings County
40.73266,-73.95826,Brooklyn,Kings County
40.73564,-73.95866,Brooklyn,Kings County
40.73555,-73.95284,Brooklyn,Kings County
40.74232744,-73.95411749,Queens,Queens County
40.74161,-73.96044,Queens,Queens County
40.74524768,-73.94733276,Queens,Queens County
40.744363287066875,-73.9558732509613,Queens,Queens County
40.74469738,-73.93540375,Queens,Queens County
40.74731,-73.95451,Queens,Queens County
40.74708586,-73.94977234,Queens,Queens County
40.74718234,-73.9432635,Queens,Queens County
40.74966,-73.9521,Queens,Queens County
40.75052534,-73.94594845,Queens,Queens County
40.75110165,-73.94073717,Queens,Queens County
40.75325964,-73.94335788,Queens,Queens County
40.76712840349542,-73.96224617958069,Manhattan,New York
40.76350532,-73.97109243,Manhattan,New York
40.76312584,-73.96526895,Manhattan,New York
40.77112927,-73.95772297,Manhattan,New York
40.766368,-73.971518,Manhattan,New York
40.77282817,-73.96685276,Manhattan,New York
40.77118287540658,-73.96409422159195,Manhattan,New York
40.77140426,-73.9535166,Manhattan,New York
40.76500525,-73.95818491,Manhattan,New York
40.7612274,-73.96094022,Manhattan,New York
40.77632142182271,-73.96427392959595,Manhattan,New York
40.77677702,-73.9590097,Manhattan,New York
40.77862688,-73.95772073,Manhattan,New York
40.77573034,-73.9567526,Manhattan,New York
40.77801203,-73.95407149,Manhattan,New York
40.77565541,-73.95068615,Manhattan,New York
40.77536905,-73.94803392,Manhattan,New York
40.7728384,-73.94989233,Manhattan,New York
40.76873687,-73.96119945,Manhattan,New York
40.76440023,-73.96648977,Manhattan,New York
40.76663814,-73.95348296,Manhattan,New York
40.77518615,-73.94446054,Manhattan,New York
40.77163851,-73.98261428,Manhattan,New York
40.77492513,-73.98266566,Manhattan,New York
40.77896784,-73.97374737,Manhattan,New York
40.7801839724239,-73.97728532552719,Manhattan,New York
40.78339981,-73.98093133,Manhattan,New York
40.7734066,-73.97782542,Manhattan,New York
40.7770575,-73.97898475,Manhattan,New York
40.77579376683666,-73.9762057363987,Manhattan,New York
40.78057799010334,-73.98562431335449,Manhattan,New York
40.77966809007312,-73.98093044757842,Manhattan,New York
40.78472675,-73.96961715,Manhattan,New York
40.78720869,-73.98128127,Manhattan,New York
40.78499979,-73.97283406,Manhattan,New York
40.78524672,-73.97667321,Manhattan,New York
40.7785669,-73.97754961,Manhattan,New York
40.777507027547976,-73.98888587951659,Manhattan,New York
40.77748046,-73.98288594,Manhattan,New York
40.77452835,-73.98753759,Manhattan,New York
40.7867947,-73.977112,Manhattan,New York
40.78414472,-73.98362492,Manhattan,New York
40.698617,-73.941342,Brooklyn,Kings County
40.69878,-73.99712,Brooklyn,Kings County
40.743,-73.93561,Queens,Queens County
40.758996559605116,-73.96865397691727,Manhattan,New York
40.73997354103409,-74.00513872504234,Manhattan,New York
40.78275,-73.97137,Manhattan,New York
40.76780080148132,-73.96592080593109,Manhattan,New York
40.68962188790333,-73.98304268717766,Brooklyn,Kings County
40.75724567911726,-73.97805914282799,Manhattan,New York
40.752165280621966,-73.97992193698882,Manhattan,New York
40.75898481399634,-73.99379968643188,Manhattan,New York
40.77391390238118,-73.9543953537941,Manhattan,New York
40.64653836709648,-74.01658773422241,Brooklyn,Kings County
