"year","end station id","end station name","end station latitude","end station longitude","num_trips"
"2018","3472","W 15 St & 10 Ave","40.742753828659026","-74.00747358798981","41100"
"2018","495","W 47 St & 10 Ave","40.76269882","-73.99301222","41092"
"2018","3158","W 63 St & Broadway","40.77163851","-73.98261428","41048"
"2018","3686","Gansevoort St & Hudson St","40.739448201304036","-74.00507032871246","40768"
"2018","305","E 58 St & 3 Ave","40.76095756","-73.96724467","40761"
"2018","3236","W 42 St & Dyer Ave","40.75898481399634","-73.99379968643188","40695"
"2018","546","E 30 St & Park Ave S","40.74444921","-73.98303529","40381"
"2018","3142","1 Ave & E 62 St","40.7612274","-73.96094022","40164"
"2018","223","W 13 St & 7 Ave","40.73781509","-73.99994661","40104"
"2018","3093","N 6 St & Bedford Ave","40.71745169","-73.95850939","40097"
"2018","195","Liberty St & Broadway","40.70905623","-74.01043382","40060"
"2018","3474","6 Ave & Spring St","40.7252556952547","-74.00412082672119","40027"
"2018","3168","Central Park West & W 85 St","40.78472675","-73.96961715","39906"
"2018","3159","W 67 St & Broadway","40.77492513","-73.98266566","39450"
"2018","474","5 Ave & E 29 St","40.7451677","-73.98683077","39435"
"2018","3656","E 2 St & Avenue A","40.72307749068673","-73.98583620786667","39335"
"2018","317","E 6 St & Avenue B","40.72453734","-73.98185424","39284"
"2018","267","Broadway & W 36 St","40.75097711","-73.98765428","39129"
"2018","525","W 34 St & 11 Ave","40.75594159","-74.0021163","39124"
"2018","3140","1 Ave & E 78 St","40.77140426","-73.9535166","39003"
"2018","363","West Thames St","40.70834698","-74.01713445","38954"
"2018","3458","W 55 St & 6 Ave","40.76309387270797","-73.9783501625061","38801"
"2018","508","W 46 St & 11 Ave","40.76341379","-73.99667444","38715"
"2018","72","W 52 St & 11 Ave","40.76727216","-73.99392888","38568"
"2018","480","W 53 St & 10 Ave","40.76669671","-73.99061728","38366"
"2018","3467","W Broadway & Spring Street","40.72494672359416","-74.00165855884552","38237"
"2018","217","Old Fulton St","40.70277159","-73.99383605","38151"
"2018","460","S 4 St & Wythe Ave","40.71285887","-73.96590294","37947"
"2018","3463","E 16 St & Irving Pl","40.735367055605394","-73.98797392845154","37703"
"2018","3147","E 85 St & 3 Ave","40.77801203","-73.95407149","37670"
"2018","433","E 13 St & Avenue A","40.72955361","-73.98057249","37524"
"2018","533","Broadway & W 38 St","40.75299641","-73.98721619","37504"
"2018","456","E 53 St & Madison Ave","40.7597108","-73.97402311","37126"
