"year","month","day","num_trips"
"2018","12","22","24582"
"2018","12","23","21952"
"2018","12","24","18701"
"2018","12","25","11065"
"2018","12","26","25105"
"2018","12","27","30817"
"2018","12","28","11912"
"2018","12","29","28755"
"2018","12","30","22288"
"2018","12","31","18733"
"2019","01","1","21937"
"2019","01","2","37755"
"2019","01","3","41640"
"2019","01","4","43866"
"2019","01","5","17405"
"2019","01","6","31420"
"2019","01","7","36441"
"2019","01","8","41120"
"2019","01","9","44278"
"2019","01","10","38926"
"2019","01","11","32752"
"2019","01","12","25090"
"2019","01","13","22732"
"2019","01","14","34927"
"2019","01","15","39020"
"2019","01","16","40323"
"2019","01","17","38895"
"2019","01","18","34169"
"2019","01","19","23710"
"2019","01","20","14201"
"2019","01","21","10271"
"2019","01","22","28541"
"2019","01","23","41459"
"2019","01","24","20065"
"2019","01","25","38786"
"2019","01","26","26274"
"2019","01","27","29996"
"2019","01","28","35555"
"2019","01","29","30911"
"2019","01","30","25117"
"2019","01","31","18619"
"2019","02","1","24952"
"2019","02","2","21980"
"2019","02","3","31907"
"2019","02","4","46339"
"2019","02","5","54120"
"2019","02","6","39185"
"2019","02","7","43133"
"2019","02","8","36422"
"2019","02","9","23743"
"2019","02","10","24104"
"2019","02","11","38609"
"2019","02","12","15844"
"2019","02","13","34912"
"2019","02","14","41619"
"2019","02","15","46810"
"2019","02","16","31007"
"2019","02","17","24006"
"2019","02","18","25812"
"2019","02","19","34650"
"2019","02","20","20418"
"2019","02","21","39470"
"2019","02","22","41763"
"2019","02","23","31573"
"2019","02","24","24250"
"2019","02","25","34203"
"2019","02","26","37493"
"2019","02","27","36462"
"2019","02","28","38203"
"2019","03","1","30203"
"2019","03","2","17984"
"2019","03","3","23211"
"2019","03","4","28398"
"2019","03","5","37069"
"2019","03","6","33257"
"2019","03","7","35872"
"2019","03","8","40380"
"2019","03","9","38886"
"2019","03","10","18880"
"2019","03","11","52366"
"2019","03","12","47170"
"2019","03","13","50075"
"2019","03","14","57414"
"2019","03","15","57443"
"2019","03","16","42098"
"2019","03","17","36800"
"2019","03","18","46470"
"2019","03","19","52935"
"2019","03","20","55327"
"2019","03","21","21222"
"2019","03","22","35421"
"2019","03","23","37336"
"2019","03","24","50245"
"2019","03","25","53403"
"2019","03","26","55367"
"2019","03","27","54422"
"2019","03","28","58473"
"2019","03","29","59233"
"2019","03","30","66563"
"2019","03","31","32727"
"2019","04","1","51337"
"2019","04","2","57859"
"2019","04","3","67836"
"2019","04","4","66330"
"2019","04","5","34435"
"2019","04","6","66474"
"2019","04","7","64626"
"2019","04","8","70395"
"2019","04","9","59259"
"2019","04","10","70903"
"2019","04","11","62362"
"2019","04","12","57951"
"2019","04","13","71388"
"2019","04","14","58368"
"2019","04","15","45592"
"2019","04","16","63245"
"2019","04","17","65182"
"2019","04","18","61501"
"2019","04","19","64888"
"2019","04","20","36749"
"2019","04","21","51829"
"2019","04","22","44061"
"2019","04","23","75374"
"2019","04","24","77659"
"2019","04","25","60769"
"2019","04","26","37097"
"2019","04","27","56386"
"2019","04","28","41143"
"2019","04","29","60746"
"2019","04","30","62606"
"2019","05","1","60847"
"2019","05","2","68651"
"2019","05","3","62358"
"2019","05","4","55973"
"2019","05","5","16146"
"2019","05","6","69869"
"2019","05","7","72766"
"2019","05","8","76334"
"2019","05","9","66637"
"2019","05","10","67987"
"2019","05","11","69721"
"2019","05","12","10718"
"2019","05","13","22281"
"2019","05","14","42753"
"2019","05","15","74247"
"2019","05","16","77823"
"2019","05","17","72057"
"2019","05","18","73080"
"2019","05","19","69870"
"2019","05","20","74431"
"2019","05","21","79184"
"2019","05","22","81919"
"2019","05","23","56539"
"2019","05","24","74773"
"2019","05","25","59424"
"2019","05","26","49898"
"2019","05","27","66551"
"2019","05","28","59393"
"2019","05","29","55048"
"2019","05","30","52446"
"2019","05","31","83281"
"2019","06","1","76363"
"2019","06","2","67243"
"2019","06","3","77621"
"2019","06","4","83244"
"2019","06","5","78741"
"2019","06","6","81297"
"2019","06","7","82874"
"2019","06","8","78024"
"2019","06","9","73919"
"2019","06","10","36998"
"2019","06","11","77986"
"2019","06","12","84984"
"2019","06","13","49148"
"2019","06","14","80546"
"2019","06","15","73833"
"2019","06","16","55487"
"2019","06","17","72476"
"2019","06","18","36380"
"2019","06","19","63624"
"2019","06","20","59899"
"2019","06","21","65614"
"2019","06","22","76552"
"2019","06","23","75487"
"2019","06","24","79966"
"2019","06","25","65842"
"2019","06","26","83235"
"2019","06","27","81521"
"2019","06","28","78628"
"2019","06","29","62648"
"2019","06","30","63512"
"2019","07","1","78196"
"2019","07","2","78094"
"2019","07","3","74159"
"2019","07","4","52639"
"2019","07","5","58656"
"2019","07","6","50835"
"2019","07","7","61411"
"2019","07","8","67973"
"2019","07","9","83645"
"2019","07","10","84165"
"2019","07","11","54461"
"2019","07","12","81016"
"2019","07","13","76775"
"2019","07","14","67860"
"2019","07","15","81004"
"2019","07","16","84508"
"2019","07","17","69130"
"2019","07","18","61037"
"2019","07","19","74992"
"2019","07","20","50519"
"2019","07","21","48150"
"2019","07","22","52343"
"2019","07","23","66250"
"2019","07","24","87593"
"2019","07","25","86387"
"2019","07","26","82808"
"2019","07","27","72179"
"2019","07","28","67629"
"2019","07","29","78713"
"2019","07","30","80678"
"2019","07","31","65519"
"2019","08","1","87637"
"2019","08","2","82195"
"2019","08","3","77213"
"2019","08","4","66824"
"2019","08","5","82337"
"2019","08","6","82458"
"2019","08","7","52157"
"2019","08","8","79556"
"2019","08","9","80216"
"2019","08","10","82724"
"2019","08","11","73313"
"2019","08","12","81315"
"2019","08","13","74948"
"2019","08","14","75544"
"2019","08","15","84825"
"2019","08","16","81482"
"2019","08","17","78036"
"2019","08","18","56283"
"2019","08","19","73919"
"2019","08","20","82256"
"2019","08","21","72974"
"2019","08","22","73690"
"2019","08","23","63721"
"2019","08","24","74172"
"2019","08","25","71858"
"2019","08","26","78979"
"2019","08","27","82700"
"2019","08","28","65048"
"2019","08","29","83228"
"2019","08","30","76766"
"2019","08","31","64190"
"2019","09","1","62615"
"2019","09","2","37769"
"2019","09","3","83660"
"2019","09","4","84779"
"2019","09","5","89593"
"2019","09","6","55196"
"2019","09","7","78166"
"2019","09","8","72469"
"2019","09","9","84748"
"2019","09","10","87521"
"2019","09","11","90393"
"2019","09","12","70119"
"2019","09","13","87568"
"2019","09","14","75388"
"2019","09","15","78909"
"2019","09","16","82051"
"2019","09","17","93059"
"2019","09","18","90248"
"2019","09","19","89616"
"2019","09","20","90488"
"2019","09","21","98691"
"2019","09","22","76360"
"2019","09","23","85430"
"2019","09","24","92973"
"2019","09","25","93961"
"2019","09","26","84541"
"2019","09","27","93194"
"2019","09","28","81549"
"2019","09","29","75695"
"2019","09","30","76494"
"2019","10","1","86953"
"2019","10","2","79776"
"2019","10","3","39043"
"2019","10","4","83297"
"2019","10","5","69070"
"2019","10","6","60487"
"2019","10","7","77270"
"2019","10","8","80508"
"2019","10","9","50380"
"2019","10","10","84802"
"2019","10","11","79294"
"2019","10","12","70705"
"2019","10","13","67569"
"2019","10","14","77598"
"2019","10","15","83290"
"2019","10","16","44026"
"2019","10","17","67277"
"2019","10","18","73542"
"2019","10","19","66824"
"2019","10","20","28521"
"2019","10","21","78401"
"2019","10","22","54762"
"2019","10","23","80429"
