"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1563","2018-02-08 12:34:57.4850","2018-02-08 13:01:00.6960","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"62","2018-02-20 13:58:40.5230","2018-02-20 13:59:42.8840","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"126","2018-02-20 14:23:34.2000","2018-02-20 14:25:40.8760","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"128","2018-02-26 08:57:04.9960","2018-02-26 08:59:13.5470","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"947","2018-02-26 09:23:07.8080","2018-02-26 09:38:55.5950","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"326","2018-02-26 09:45:30.2320","2018-02-26 09:50:56.3500","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"336","2018-02-26 10:24:56.9610","2018-02-26 10:30:33.0900","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"6439","2018-02-26 15:15:29.3700","2018-02-26 17:02:49.2260","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"642","2018-03-05 13:05:26.4240","2018-03-05 13:16:08.9290","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"581","2018-03-05 14:15:38.9070","2018-03-05 14:25:20.3800","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
"947","2018-03-05 14:33:52.2490","2018-03-05 14:49:39.6790","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","3650","8D Mobile 01","45.50626419100119","-73.56890559196472","24354","Subscriber","1986","1"
